5 15:23:35 INFO  SparkHadoopMapRedUtil:58 - attempt_201711051523_0002_m_000004_7: Committed
2017-11-05 15:23:35 INFO  Executor:58 - Finished task 4.0 in stage 2.0 (TID 7). 2628 bytes result sent to driver
2017-11-05 15:23:35 INFO  TaskSetManager:58 - Starting task 6.0 in stage 2.0 (TID 9, localhost, partition 6,NODE_LOCAL, 1918 bytes)
2017-11-05 15:23:35 INFO  Executor:58 - Running task 6.0 in stage 2.0 (TID 9)
2017-11-05 15:23:35 INFO  TaskSetManager:58 - Finished task 4.0 in stage 2.0 (TID 7) in 44 ms on localhost (5/200)
2017-11-05 15:23:35 INFO  ShuffleBlockFetcherIterator:58 - Getting 1 non-empty blocks out of 1 blocks
2017-11-05 15:23:35 INFO  ShuffleBlockFetcherIterator:58 - Started 0 remote fetches in 1 ms
2017-11-05 15:23:35 INFO  ShuffleBlockFetcherIterator:58 - Getting 1 non-empty blocks out of 1 blocks
2017-11-05 15:23:35 INFO  ShuffleBlockFetcherIterator:58 - Started 0 remote fetches in 0 ms
2017-11-05 15:23:36 INFO  FileOutputCommitter:439 - Saved output of task 'attempt_201711051523_0002_m_000006_9' to file:/var/folders/5b/l5cqfnmx16x0z42tz0z0dt5hnfcnkx/T/junit6147406587438984887/output/erroneous/_temporary/0/task_201711051523_0002_m_000006
2017-11-05 15:23:36 INFO  SparkHadoopMapRedUtil:58 - attempt_201711051523_0002_m_000006_9: Committed
2017-11-05 15:23:36 INFO  Executor:58 - Finished task 6.0 in stage 2.0 (TID 9). 2628 bytes result sent to driver
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Starting task 7.0 in stage 2.0 (TID 10, localhost, partition 7,NODE_LOCAL, 1918 bytes)
2017-11-05 15:23:36 INFO  Executor:58 - Running task 7.0 in stage 2.0 (TID 10)
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Finished task 6.0 in stage 2.0 (TID 9) in 54 ms on localhost (6/200)
2017-11-05 15:23:36 INFO  FileOutputCommitter:439 - Saved output of task 'attempt_201711051523_0002_m_000005_8' to file:/var/folders/5b/l5cqfnmx16x0z42tz0z0dt5hnfcnkx/T/junit6147406587438984887/output/erroneous/_temporary/0/task_201711051523_0002_m_000005
2017-11-05 15:23:36 INFO  SparkHadoopMapRedUtil:58 - attempt_201711051523_0002_m_000005_8: Committed
2017-11-05 15:23:36 INFO  Executor:58 - Finished task 5.0 in stage 2.0 (TID 8). 2628 bytes result sent to driver
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Starting task 8.0 in stage 2.0 (TID 11, localhost, partition 8,NODE_LOCAL, 1918 bytes)
2017-11-05 15:23:36 INFO  Executor:58 - Running task 8.0 in stage 2.0 (TID 11)
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Finished task 5.0 in stage 2.0 (TID 8) in 79 ms on localhost (7/200)
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Getting 1 non-empty blocks out of 1 blocks
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Started 0 remote fetches in 0 ms
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Getting 1 non-empty blocks out of 1 blocks
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Started 0 remote fetches in 0 ms
2017-11-05 15:23:36 INFO  FileOutputCommitter:439 - Saved output of task 'attempt_201711051523_0002_m_000007_10' to file:/var/folders/5b/l5cqfnmx16x0z42tz0z0dt5hnfcnkx/T/junit6147406587438984887/output/erroneous/_temporary/0/task_201711051523_0002_m_000007
2017-11-05 15:23:36 INFO  SparkHadoopMapRedUtil:58 - attempt_201711051523_0002_m_000007_10: Committed
2017-11-05 15:23:36 INFO  Executor:58 - Finished task 7.0 in stage 2.0 (TID 10). 2628 bytes result sent to driver
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Starting task 9.0 in stage 2.0 (TID 12, localhost, partition 9,NODE_LOCAL, 1918 bytes)
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Finished task 7.0 in stage 2.0 (TID 10) in 36 ms on localhost (8/200)
2017-11-05 15:23:36 INFO  Executor:58 - Running task 9.0 in stage 2.0 (TID 12)
2017-11-05 15:23:36 INFO  FileOutputCommitter:439 - Saved output of task 'attempt_201711051523_0002_m_000008_11' to file:/var/folders/5b/l5cqfnmx16x0z42tz0z0dt5hnfcnkx/T/junit6147406587438984887/output/erroneous/_temporary/0/task_201711051523_0002_m_000008
2017-11-05 15:23:36 INFO  SparkHadoopMapRedUtil:58 - attempt_201711051523_0002_m_000008_11: Committed
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Getting 1 non-empty blocks out of 1 blocks
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Started 0 remote fetches in 1 ms
2017-11-05 15:23:36 INFO  Executor:58 - Finished task 8.0 in stage 2.0 (TID 11). 2628 bytes result sent to driver
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Starting task 10.0 in stage 2.0 (TID 13, localhost, partition 10,NODE_LOCAL, 1918 bytes)
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Finished task 8.0 in stage 2.0 (TID 11) in 35 ms on localhost (9/200)
2017-11-05 15:23:36 INFO  Executor:58 - Running task 10.0 in stage 2.0 (TID 13)
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Getting 1 non-empty blocks out of 1 blocks
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Started 0 remote fetches in 1 ms
2017-11-05 15:23:36 INFO  FileOutputCommitter:439 - Saved output of task 'attempt_201711051523_0002_m_000009_12' to file:/var/folders/5b/l5cqfnmx16x0z42tz0z0dt5hnfcnkx/T/junit6147406587438984887/output/erroneous/_temporary/0/task_201711051523_0002_m_000009
2017-11-05 15:23:36 INFO  SparkHadoopMapRedUtil:58 - attempt_201711051523_0002_m_000009_12: Committed
2017-11-05 15:23:36 INFO  Executor:58 - Finished task 9.0 in stage 2.0 (TID 12). 2628 bytes result sent to driver
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Starting task 11.0 in stage 2.0 (TID 14, localhost, partition 11,NODE_LOCAL, 1918 bytes)
2017-11-05 15:23:36 INFO  Executor:58 - Running task 11.0 in stage 2.0 (TID 14)
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Finished task 9.0 in stage 2.0 (TID 12) in 33 ms on localhost (10/200)
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Getting 1 non-empty blocks out of 1 blocks
2017-11-05 15:23:36 INFO  ShuffleBlockFetcherIterator:58 - Started 0 remote fetches in 1 ms
2017-11-05 15:23:36 INFO  FileOutputCommitter:439 - Saved output of task 'attempt_201711051523_0002_m_000010_13' to file:/var/folders/5b/l5cqfnmx16x0z42tz0z0dt5hnfcnkx/T/junit6147406587438984887/output/erroneous/_temporary/0/task_201711051523_0002_m_000010
2017-11-05 15:23:36 INFO  SparkHadoopMapRedUtil:58 - attempt_201711051523_0002_m_000010_13: Committed
2017-11-05 15:23:36 INFO  Executor:58 - Finished task 10.0 in stage 2.0 (TID 13). 2628 bytes result sent to driver
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Starting task 12.0 in stage 2.0 (TID 15, localhost, partition 12,NODE_LOCAL, 1918 bytes)
2017-11-05 15:23:36 INFO  TaskSetManager:58 - Finished task 10.0 in stage 2.0 (TID 13) in 42 ms on localhost (11/200)
